CCD	PDB	Nucleotide	Has_Protein	Category	JSON
5CM	7MWM	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7MWM/5CM_7MWM.json
5CM	7NX5	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7NX5/5CM_7NX5.json
5CM	7RAY	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7RAY/5CM_7RAY.json
5CM	7YUN	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7YUN/5CM_7YUN.json
5CM	8C56	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8C56/5CM_8C56.json
5CM	8ENG	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8ENG/5CM_8ENG.json
5CM	8EO1	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8EO1/5CM_8EO1.json
5CM	8EO4	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8EO4/5CM_8EO4.json
5CM	8HTX	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8HTX/5CM_8HTX.json
5CM	8IK4	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8IK4/5CM_8IK4.json
5CM	8RPX	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8RPX/5CM_8RPX.json
5CM	8TLJ	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8TLJ/5CM_8TLJ.json
5CM	8TLK	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8TLK/5CM_8TLK.json
5CM	8XPA	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8XPA/5CM_8XPA.json
5CM	8YV8	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8YV8/5CM_8YV8.json
5CM	9K7R	DNA+RNA	No	DNA+RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/9K7R/5CM_9K7R.json
5CM	9K8Z	DNA+RNA	No	DNA+RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/9K8Z/5CM_9K8Z.json
5CM	9KKZ	DNA+RNA	No	DNA+RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/9KKZ/5CM_9KKZ.json
5CM	9KL1	DNA+RNA	No	DNA+RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/9KL1/5CM_9KL1.json
5FC	1VE8	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5FC/1VE8/5FC_1VE8.json
5FC	4QC7	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5FC/4QC7/5FC_4QC7.json
5FC	4QKK	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5FC/4QKK/5FC_4QKK.json
5FC	4R2D	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5FC/4R2D/5FC_4R2D.json
5FC	4R2Q	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5FC/4R2Q/5FC_4R2Q.json
5FC	5KL4	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5FC/5KL4/5FC_5KL4.json
5FC	5MVU	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5FC/5MVU/5FC_5MVU.json
5FC	5ZAS	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5FC/5ZAS/5FC_5ZAS.json
5FC	6GCE	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5FC/6GCE/5FC_6GCE.json
5FU	2E9T	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5FU/2E9T/5FU_2E9T.json
5HU	4E9H	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5HU/4E9H/5HU_4E9H.json
5HU	4EA4	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5HU/4EA4/5HU_4EA4.json
5HU	4EW0	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5HU/4EW0/5HU_4EW0.json
5IU	1A6Y	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/1A6Y/5IU_1A6Y.json
5IU	1AIS	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/1AIS/5IU_1AIS.json
5IU	1BF4	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/1BF4/5IU_1BF4.json
5IU	1CKT	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/1CKT/5IU_1CKT.json
5IU	1GA5	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/1GA5/5IU_1GA5.json
5IU	1JJ6	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/1JJ6/5IU_1JJ6.json
5IU	1JJ8	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/1JJ8/5IU_1JJ8.json
5IU	1K61	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/1K61/5IU_1K61.json
5IU	1LEI	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/1LEI/5IU_1LEI.json
5IU	1OMK	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/1OMK/5IU_1OMK.json
5IU	1P59	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/1P59/5IU_1P59.json
5IU	1ZME	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/1ZME/5IU_1ZME.json
5IU	2BSQ	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/2BSQ/5IU_2BSQ.json
5IU	2H1O	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/2H1O/5IU_2H1O.json
5IU	2IRF	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/2IRF/5IU_2IRF.json
5IU	2NLL	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/2NLL/5IU_2NLL.json
5IU	2Q2K	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/2Q2K/5IU_2Q2K.json
5IU	2RAM	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/2RAM/5IU_2RAM.json
5IU	3BSU	DNA+RNA	Yes	DNA+RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/3BSU/5IU_3BSU.json
5IU	454D	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/454D/5IU_454D.json
5IU	4GRE	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/4GRE/5IU_4GRE.json
5IU	4GS2	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/4GS2/5IU_4GS2.json
5IU	6UKE	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/6UKE/5IU_6UKE.json
5IU	6UKF	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5IU/6UKF/5IU_6UKF.json
5MC	6A6J	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5MC/6A6J/5MC_6A6J.json
5MC	7F3I	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5MC/7F3I/5MC_7F3I.json
5MC	7F3J	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5MC/7F3J/5MC_7F3J.json
5MC	7F3K	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5MC/7F3K/5MC_7F3K.json
5MU	1H4S	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5MU/1H4S/5MU_1H4S.json
5MU	1I9V	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5MU/1I9V/5MU_1I9V.json
5MU	3BT7	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5MU/3BT7/5MU_3BT7.json
5NC	10MH	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5NC/10MH/5NC_10MH.json
5SE	3IJN	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5SE/3IJN/5SE_3IJN.json
64T	3CVU	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/64T/3CVU/64T_3CVU.json
64T	3CVV	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/64T/3CVV/64T_3CVV.json
64T	3CVW	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/64T/3CVW/64T_3CVW.json
64T	3CVX	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/64T/3CVX/64T_3CVX.json
64T	4GLE	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/64T/4GLE/64T_4GLE.json
64T	6FN0	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/64T/6FN0/64T_6FN0.json
6MA	1DA3	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/1DA3/6MA_1DA3.json
6MA	1G38	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/1G38/6MA_1G38.json
6MA	1J3E	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/1J3E/6MA_1J3E.json
6MA	1LRR	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/1LRR/6MA_1LRR.json
6MA	2AOR	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/2AOR/6MA_2AOR.json
6MA	2IBS	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/2IBS/6MA_2IBS.json
6MA	2IBT	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/2IBT/6MA_2IBT.json
6MA	2IH2	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/2IH2/6MA_2IH2.json
6MA	2IH4	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/2IH4/6MA_2IH4.json
6MA	2IH5	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/2IH5/6MA_2IH5.json
6MA	2JG3	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/2JG3/6MA_2JG3.json
6MA	2NP6	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/2NP6/6MA_2NP6.json
6MA	2NP7	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/2NP7/6MA_2NP7.json
6MA	4DNB	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/4DNB/6MA_4DNB.json
6MA	4KYW	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/4KYW/6MA_4KYW.json
6MA	5YIV	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/5YIV/6MA_5YIV.json
6MA	5YIW	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/5YIW/6MA_5YIW.json
6MA	6WE9	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/6WE9/6MA_6WE9.json
6MA	6WEA	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/6WEA/6MA_6WEA.json
6MA	7L4X	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/7L4X/6MA_7L4X.json
6MA	7L4Y	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/7L4Y/6MA_7L4Y.json
6MA	8W2Q	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MA/8W2Q/6MA_8W2Q.json
6MZ	4R3I	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MZ/4R3I/6MZ_4R3I.json
6MZ	4RCJ	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MZ/4RCJ/6MZ_4RCJ.json
6MZ	5LQT	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MZ/5LQT/6MZ_5LQT.json
6MZ	5LR4	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MZ/5LR4/6MZ_5LR4.json
6MZ	5LR5	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MZ/5LR5/6MZ_5LR5.json
6MZ	6Q8U	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MZ/6Q8U/6MZ_6Q8U.json
6MZ	6Q8V	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MZ/6Q8V/6MZ_6Q8V.json
6MZ	7PO6	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MZ/7PO6/6MZ_7PO6.json
6MZ	7V4G	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MZ/7V4G/6MZ_7V4G.json
6MZ	7WKV	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MZ/7WKV/6MZ_7WKV.json
6MZ	7WL0	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MZ/7WL0/6MZ_7WL0.json
6MZ	7Z26	RNA	Yes	RNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6MZ/7Z26/6MZ_7Z26.json
6OG	153D	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6OG/153D/6OG_153D.json
6OG	1D24	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6OG/1D24/6OG_1D24.json
6OG	1D27	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6OG/1D27/6OG_1D27.json
6OG	218D	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6OG/218D/6OG_218D.json
6OG	2J6S	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6OG/2J6S/6OG_2J6S.json
6OG	2J6T	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6OG/2J6T/6OG_2J6T.json
6OG	2J6U	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6OG/2J6U/6OG_2J6U.json
6OG	3GX4	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6OG/3GX4/6OG_3GX4.json
6OG	4NXZ	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6OG/4NXZ/6OG_4NXZ.json
6OG	4OFH	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6OG/4OFH/6OG_4OFH.json
6OG	4Z6F	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6OG/4Z6F/6OG_4Z6F.json
6OG	4ZYD	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/6OG/4ZYD/6OG_4ZYD.json
70U	1FIR	RNA	No	RNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/70U/1FIR/70U_1FIR.json
77Y	6EO6	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/77Y/6EO6/77Y_6EO6.json
7DA	1U1K	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/7DA/1U1K/7DA_1U1K.json
7DA	3OPI	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/7DA/3OPI/7DA_3OPI.json
7GU	1U1M	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/7GU/1U1M/7GU_1U1M.json
7GU	2QEG	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/7GU/2QEG/7GU_2QEG.json
8AA	5G34	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/8AA/5G34/8AA_5G34.json
8DT	6EO7	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/8DT/6EO7/8DT_6EO7.json
8OG	178D	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/8OG/178D/8OG_178D.json
8OG	183D	DNA	No	DNA	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/8OG/183D/8OG_183D.json
8OG	1MQ3	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/8OG/1MQ3/8OG_1MQ3.json
8OG	1R2Y	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/8OG/1R2Y/8OG_1R2Y.json
8OG	2ASD	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/8OG/2ASD/8OG_2ASD.json
8OG	2ASL	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/8OG/2ASL/8OG_2ASL.json
8OG	2C22	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/8OG/2C22/8OG_2C22.json
8OG	2C28	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/8OG/2C28/8OG_2C28.json
8OG	2C2D	DNA	Yes	DNA-protein	/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/8OG/2C2D/8OG_2C2D.json
